feature,importance,imp_acum_pct
recencia,0.41686273,41.686275
frequencia,0.053299736,47.016247
total_telefones_cliente,0.039629176,50.979168
tipo_linha_Movel,0.029925428,53.971706
uf_Desconhecido,0.025095541,56.48126
sexo_Desconhecido,0.02484299,58.965557
tipo_linha_Fixo,0.024027735,61.36833
idade,0.018078376,63.176167
uf_SP,0.01785965,64.96213
uf_AC,0.017804444,66.74258
uf_PR,0.016626349,68.40521
uf_RN,0.016529145,70.05813
uf_PE,0.015140413,71.57217
uf_ES,0.0147919115,73.05136
uf_MG,0.014526121,74.50397
uf_RJ,0.013838969,75.88786
uf_CE,0.013829668,77.27083
sexo_M,0.013792796,78.65011
uf_AP,0.013309914,79.9811
uf_RO,0.013189862,81.30009
uf_GO,0.012780344,82.578125
uf_SE,0.012750485,83.85317
uf_SC,0.012546517,85.10783
uf_DF,0.012536958,86.36152
uf_RS,0.012419639,87.603485
sexo_F,0.012109797,88.81447
uf_PB,0.012057609,90.020226
uf_AL,0.01200318,91.22054
uf_PA,0.01151333,92.37188
uf_BA,0.0114106005,93.51294
uf_MS,0.011333407,94.64628
uf_PI,0.011194751,95.765755
uf_AM,0.010929884,96.85875
uf_MT,0.010468345,97.90558
uf_MA,0.00844983,98.750565
uf_TO,0.0078614615,99.53671
uf_RR,0.0046328213,99.99999
